平台,所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,类型可选值列表,阶段可选值列表,平台
,,点击评论按钮，输入141字评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论失败
2. 
3.",,,,,,,
,,点击评论按钮，输入139字评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论成功
2. 
3.",,,,,,,
,,点击评论按钮，输入139字母评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论成功
2. 
3.",,,,,,,
,,点击评论按钮，输入140字母评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论成功
2. 
3.",,,,,,,
,,点击评论按钮，输入141字母评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论失败
2. 
3.",,,,,,,
,,点击评论按钮，输入140字母以内评论，点击评论,登录网易云账户,"1. 点击评论按钮
2. 
3.","1. 评论成功
2. 
3.",,,,,,,
,/主干/关注/发动态(#20),输入140字以内评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,
,,输入140字评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,
,,输入141字评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享失败
2. 
3.",,,,,,,
,,输入139字评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,
,,输入139字母评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,
,,输入140字母评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,
,,输入141字母评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成失败
2. 
3.",,,,,,,
,,输入140字母以内评论，点击分享,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,
,,上传图片，分享成功,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,
,,能给动态配上音乐,登录网易云账户,"1. 点击分享按钮
2. 
3.","1. 分享成功
2. 
3.",,,,,,,
,/主干/关注/发布视频(#21),点击发布视频，跳转至达人创作者中心,登录网易云账户,"1. 点击发布视频
2. 
3.",跳转至达人创作者中心,,,,,,,
,/主干/商城(#4),点击商城，跳转至网易云音乐商城,登录网易云账户,"1. 点击商城
2. 
3.",跳转至网易云音乐商城,,,,,,,
,,点击最上方广告栏，跳转相关广告页面,登录网易云账户,点击最上方广告栏,跳转相关广告页面,,,,,,,
,,点击商品图片，跳转相关商品页面,登录网易云账户,点击商品图片,跳转相关商品页面,,,,,,,
,,点击商品名字，跳转相关商品页面,登录网易云账户,点击商品名字,"1. 
2. 
3.",,,,,,,
,,点击网易云logo，返回网易云商城主页面,登录网易云账户,点击网易云logo,返回网易云商城主页面,,,,,,,
,,点击‘热销单品’，显示相关商品,登录网易云账户,点击‘热销单品’,显示相关商品,,,,,,,
,,点击‘ip周边’，显示相关商品,登录网易云账户,点击‘ip周边’,显示相关商品,,,,,,,
,,点击‘数码影音’，显示相关商品,登录网易云账户,点击‘数码影音’,显示相关商品,,,,,,,
,,点击‘云贝商城’，显示相关页面,登录网易云账户,点击‘云贝商城’,显示相关页面,,,,,,,
,,点击‘网易云音乐首页’，回到网易云音乐主页面,登录网易云账户,点击‘网易云音乐首页’,回到网易云音乐主页面,,,,,,,
,,点击搜索框，显示最近热门搜索,登录网易云账户,点击搜索框,显示最近热门搜索,,,,,,,
,,"点击搜索框，显示最近热门搜索，点击随意一个搜索，正确搜索
",登录网易云账户,点击搜索框,正确搜索,,,,,,,
,,点击退出，账号退出,登录网易云账户,点击退出,账号退出,,,,,,,
,,点击订单，显示订单,登录网易云账户,点击订单,显示订单,,,,,,,
,,点击优惠券，显示我的优惠券,登录网易云账户,点击优惠券,显示我的优惠券,,,,,,,
,,点击收货地址，显示我的收货地址,登录网易云账户,点击收货地址,显示我的收货地址,,,,,,,
,/主干/账户信息/vip会员(#31),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置(#32),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置/基本设置(#45),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置/绑定设置(#46),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置/隐私设置(#47),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证(#33),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/真实姓名(#48),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/手机号(#49),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/验证码(#50),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/地区(#51),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/证件号(#52),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/退出(#34),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/(#0),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐(#1),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/推荐(#10),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/排行榜(#11),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/歌单(#12),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/主播电台(#13),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/歌手(#14),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/新碟上架(#15),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐(#2),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/我的歌手(#16),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/我的电台(#17),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/我创建的歌单(#18),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/收藏的歌单(#19),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/关注(#3),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/关注/发动态(#20),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/关注/发布视频(#21),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/商城(#4),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/商城/搜索(#22),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/商城/购物车(#23),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/音乐人(#5),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/音乐人/立即入驻(#24),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/音乐人/校园入驻(#25),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/下载客户端(#6),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/搜索(#7),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/登录(#9),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/注册(#26),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息(#27),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页(#28),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/我创建的电台(#35),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/听歌排行(#36),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/创建的歌单(#37),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/收藏的歌单(#38),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息(#29),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/@我的(#39),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/私信(#40),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/评论(#41),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/通知(#42),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/一键已读(#43),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的等级(#30),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的等级/了解等级特权(#44),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/vip会员(#31),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置(#32),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置/基本设置(#45),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置/绑定设置(#46),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置/隐私设置(#47),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证(#33),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/真实姓名(#48),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/手机号(#49),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/验证码(#50),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/地区(#51),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/证件号(#52),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/退出(#34),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/(#0),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐(#1),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/推荐(#10),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/排行榜(#11),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/歌单(#12),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/主播电台(#13),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/歌手(#14),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/新碟上架(#15),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐(#2),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/我的歌手(#16),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/我的电台(#17),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/我创建的歌单(#18),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/收藏的歌单(#19),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/关注(#3),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/关注/发动态(#20),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/关注/发布视频(#21),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/商城(#4),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/商城/搜索(#22),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/商城/购物车(#23),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/音乐人(#5),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/音乐人/立即入驻(#24),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/音乐人/校园入驻(#25),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/下载客户端(#6),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/搜索(#7),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/登录(#9),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/注册(#26),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息(#27),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页(#28),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/我创建的电台(#35),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/听歌排行(#36),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/创建的歌单(#37),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/收藏的歌单(#38),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息(#29),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/@我的(#39),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/私信(#40),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/评论(#41),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/通知(#42),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/一键已读(#43),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的等级(#30),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的等级/了解等级特权(#44),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/vip会员(#31),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置(#32),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置/基本设置(#45),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置/绑定设置(#46),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置/隐私设置(#47),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证(#33),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/真实姓名(#48),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/手机号(#49),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/验证码(#50),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/地区(#51),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/证件号(#52),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/退出(#34),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/(#0),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐(#1),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/推荐(#10),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/排行榜(#11),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/歌单(#12),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/主播电台(#13),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/歌手(#14),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/新碟上架(#15),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐(#2),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/我的歌手(#16),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/我的电台(#17),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/我创建的歌单(#18),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/收藏的歌单(#19),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/关注(#3),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/关注/发动态(#20),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/关注/发布视频(#21),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/商城(#4),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/商城/搜索(#22),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/商城/购物车(#23),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/音乐人(#5),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/音乐人/立即入驻(#24),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/音乐人/校园入驻(#25),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/下载客户端(#6),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/搜索(#7),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/登录(#9),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/注册(#26),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息(#27),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页(#28),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/我创建的电台(#35),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/听歌排行(#36),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/创建的歌单(#37),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/收藏的歌单(#38),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息(#29),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/@我的(#39),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/私信(#40),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/评论(#41),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/通知(#42),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/一键已读(#43),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的等级(#30),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的等级/了解等级特权(#44),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/vip会员(#31),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置(#32),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置/基本设置(#45),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置/绑定设置(#46),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置/隐私设置(#47),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证(#33),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/真实姓名(#48),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/手机号(#49),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/验证码(#50),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/地区(#51),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/证件号(#52),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/退出(#34),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/(#0),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐(#1),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/推荐(#10),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/排行榜(#11),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/歌单(#12),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/主播电台(#13),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/歌手(#14),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/新碟上架(#15),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐(#2),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/我的歌手(#16),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/我的电台(#17),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/我创建的歌单(#18),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/收藏的歌单(#19),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/关注(#3),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/关注/发动态(#20),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/关注/发布视频(#21),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/商城(#4),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/商城/搜索(#22),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/商城/购物车(#23),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/音乐人(#5),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/音乐人/立即入驻(#24),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/音乐人/校园入驻(#25),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/下载客户端(#6),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/搜索(#7),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/登录(#9),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/注册(#26),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息(#27),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页(#28),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/我创建的电台(#35),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/听歌排行(#36),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/创建的歌单(#37),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的主页/收藏的歌单(#38),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息(#29),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/@我的(#39),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/私信(#40),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/评论(#41),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/通知(#42),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的消息/一键已读(#43),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的等级(#30),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/我的等级/了解等级特权(#44),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/vip会员(#31),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置(#32),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置/基本设置(#45),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置/绑定设置(#46),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/个人设置/隐私设置(#47),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证(#33),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/真实姓名(#48),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/手机号(#49),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/验证码(#50),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/地区(#51),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/实名认证/证件号(#52),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/账户信息/退出(#34),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/(#0),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐(#1),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/推荐(#10),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/排行榜(#11),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/歌单(#12),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/主播电台(#13),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/歌手(#14),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/发现音乐/新碟上架(#15),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐(#2),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/我的歌手(#16),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/我的电台(#17),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/我创建的歌单(#18),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/我的音乐/收藏的歌单(#19),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/关注(#3),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
,/主干/关注/发动态(#20),,,"1. 
2. 
3.","1. 
2. 
3.",,,,,,,
